"Contrast","diff","lwr","upr","P_Adjusted","Interpretation"
"Mexico City-Hidalgo",-0.0130905832803385,-0.0984588570183214,0.0722776904576443,0.993446594253877,"Statistically Equivalent (Stable)"
"Morelos-Hidalgo",-0.00956679821534978,-0.0881752701969636,0.069041673766264,0.997319190245485,"Statistically Equivalent (Stable)"
"State of Mexico-Hidalgo",-0.0250385574755015,-0.0833178301145779,0.0332407151635749,0.764009103976749,"Statistically Equivalent (Stable)"
"Tlaxcala-Hidalgo",0.0388365551402674,-0.0275394299547482,0.105212540235283,0.49562237445152,"Statistically Equivalent (Stable)"
"Morelos-Mexico City",0.00352378506498874,-0.0886614573467576,0.0957090274767351,0.999972650977614,"Statistically Equivalent (Stable)"
"State of Mexico-Mexico City",-0.011947974195163,-0.0875475818037219,0.0636516334133959,0.992643138624029,"Statistically Equivalent (Stable)"
"Tlaxcala-Mexico City",0.0519271384206059,-0.0300765105748017,0.133930787416014,0.413066361416199,"Statistically Equivalent (Stable)"
"State of Mexico-Morelos",-0.0154717592601518,-0.0833455419516231,0.0524020234313195,0.971006881382586,"Statistically Equivalent (Stable)"
"Tlaxcala-Morelos",0.0484033533556172,-0.0265376111087064,0.123344317819941,0.392249398736186,"Statistically Equivalent (Stable)"
"Tlaxcala-State of Mexico",0.0638751126157689,0.0106460800592905,0.117104145172247,0.0096591115121043,"Significantly Different 🌟"
