"Antibiotic","Associated_Gene","Kappa_or_ASE"
"AMP","bla",0.8755
"AMP","bla",0.0279
"AMC","bla",0.1082
"AMC","bla",0.042
"CRO","bla",0.1515
"CRO","bla",0.0472
"FEP","bla",0.0142
"FEP","bla",0.0181
"MEM","bla",-0.0111
"MEM","bla",0.0063
"CIP","gyrA",-0.0182
"CIP","gyrA",0.0364
"AZM","mph",0.5395
"AZM","mph",0.0615
"TET","tetA",0.9216
"TET","tetA",0.0176
"CHL","floR",0.9216
"CHL","floR",0.0199
"AMK","aac",0.0738
"AMK","aac",0.0263
"STR","aac",0.7225
"STR","aac",0.0325
"SXT","sul",0.6751
"SXT","sul",0.0352
