"Water, Air, & Soil Pollution",,,,
,,,,
Long-term genomic surveillance unveils key drivers of Salmonella contamination and antimicrobial resistance dynamics in surface waters from Central Mexico ,,,,
,,,,
"Enrique Jesús Delgado-Suárez*, Santiago Zapata-Ramírez, Luz del Carmen Sierra-Gómez Pedroso, Francisco Alejandro Ruíz-López, Nayarit Emérita Ballesteros-Nova, Orbelín Soberanis-Ramos, María Salid Rubio-Lozano, Luisa María Sánchez-Zamorano, Yaselda Chavarin-Pineda, Rebecca Bell, Anna Brover, Maria Balkey, Christopher Grim, Eric W. Brown, Marc W. Allard, Zhao Chen, Magaly Toro, Jianghong Meng",,,,
"*Corresponding author. Facultad de Medicina Veterinaria y Zootecnia, Universidad Nacional Autónoma de México, Mexico City, Mexico. E-mail: ejds@fmvz.unam.mx",,,,
,,,,
Online resource 10. Longitudinal trend analysis of AMR genes and MDR genotypes (MDRg) according to GLM analysis ,,,,
,,,,
Variable,Beta,Odds_Ratio,P_Value,Trend
aac,0.044,1.045,0.492,Stable (Non-significant)
qnr,0.0235,1.0238,0.6887,Stable (Non-significant)
tetA,0.0387,1.0395,0.5238,Stable (Non-significant)
sul,0.0856,1.0894,0.1692,Stable (Non-significant)
floR,0.0062,1.0063,0.9273,Stable (Non-significant)
fosA,0.0232,1.0235,0.7559,Stable (Non-significant)
bla,-0.0143,0.9858,0.8527,Stable (Non-significant)
mph,-0.1133,0.8929,0.3004,Stable (Non-significant)
gyrA,-0.0095,0.9906,0.9408,Stable (Non-significant)
bleO,-0.0496,0.9516,0.7385,Stable (Non-significant)
lnuF,0.263,1.3008,0.1283,Stable (Non-significant)
sat2,0.3571,1.4292,0.4006,Stable (Non-significant)
mcr9.1,-0.4548,0.6346,0.3146,Stable (Non-significant)
arr3,-17.2015,0,0.9956,Stable (Non-significant)
MDRg,0.0693,1.0718,0.2507,Stable (Non-significant)
