"Variable","Odds_Ratio","CI_Lower","CI_Upper","P_Value","Significance"
"(Intercept)",345.0358,30.8274,3861.8092,0,"SIGNIFICANT 🌟"
"Year_Fact2020",0.4078,0.2129,0.7813,0.0068,"SIGNIFICANT 🌟"
"Year_Fact2021",0.5663,0.3397,0.9439,0.0292,"SIGNIFICANT 🌟"
"Year_Fact2022",0.2593,0.1666,0.4036,0,"SIGNIFICANT 🌟"
"Year_Fact2023",0.0822,0.0475,0.1421,0,"SIGNIFICANT 🌟"
"StateMexico City",1.2329,0.5208,2.919,0.6339,"Stable"
"StateMorelos",1.6301,0.8501,3.1256,0.1413,"Stable"
"StateState of Mexico",1.7348,0.8179,3.6795,0.151,"Stable"
"StateTlaxcala",3.0015,1.384,6.5094,0.0054,"SIGNIFICANT 🌟"
"SourceDam",0.9551,0.4503,2.0258,0.9048,"Stable"
"SourcePond",0.6606,0.3683,1.1848,0.1643,"Stable"
"SourceRiver",0.9597,0.5961,1.545,0.8655,"Stable"
"SeasonSpring",6.8759,4.158,11.3705,0,"SIGNIFICANT 🌟"
"SeasonSummer",1.2839,0.8504,1.9382,0.2344,"Stable"
"SeasonWinter",3.9527,2.4158,6.4673,0,"SIGNIFICANT 🌟"
"pH",0.4638,0.3502,0.6144,0,"SIGNIFICANT 🌟"
"Temperature",1.0071,0.9668,1.0491,0.7332,"Stable"
"Turbidity",1.0012,0.9985,1.0039,0.3799,"Stable"
