"Variable","Odds_Ratio","CI_Lower","CI_Upper","P_Value","Significance"
"(Intercept)",1.1403,0.0381,34.145,0.9397,"Stable"
"Year_Fact2020",0.3287,0.1091,0.99,0.048,"SIGNIFICANT 🌟"
"Year_Fact2021",1.0918,0.4822,2.4722,0.8332,"Stable"
"Year_Fact2022",0.7361,0.39,1.3893,0.3444,"Stable"
"Year_Fact2023",0.6382,0.2801,1.4541,0.2851,"Stable"
"StateMexico City",0.2993,0.0607,1.4765,0.1385,"Stable"
"StateMorelos",0.1458,0.0356,0.5974,0.0074,"SIGNIFICANT 🌟"
"StateState of Mexico",0.2662,0.0647,1.096,0.0668,"Stable"
"StateTlaxcala",0.2027,0.0477,0.8611,0.0306,"SIGNIFICANT 🌟"
"SourceDam",0.4319,0.0961,1.9411,0.2736,"Stable"
"SourcePond",1.1044,0.4164,2.9289,0.8419,"Stable"
"SourceRiver",1.8146,0.9787,3.3645,0.0585,"Stable"
"SeasonSpring",1.5545,0.7748,3.1187,0.2143,"Stable"
"SeasonSummer",0.9163,0.4984,1.6844,0.7783,"Stable"
"SeasonWinter",1.8671,0.8142,4.2816,0.1403,"Stable"
"pH",0.9978,0.6725,1.4805,0.9915,"Stable"
"Temperature",0.9977,0.9413,1.0575,0.9394,"Stable"
"Turbidity",1.0028,0.9996,1.0059,0.0825,"Stable"
